english,korean,part_of_speech,difficulty,created_at,updated_at,example_sentence,example_translation,,,,,
137,takeover,기업 인수,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company announced a takeover of its competitor.,그 회사는 경쟁사의 인수를 발표했다.,,,,,
138,proprietor,소유주,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The proprietor of the café greeted us warmly.,카페 주인이 우리를 따뜻하게 맞아주었다.,,,,,
139,campaign,"캠페인, 운동, 활동",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They launched a campaign to promote recycling.,그들은 재활용을 장려하기 위한 캠페인을 시작했다.,,,,,
140,invaluable,"매우 귀중한, 가치를 매길 수 없는",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Her advice has been invaluable to our success.,그녀의 조언은 우리의 성공에 매우 귀중했다.,,,,,
141,conclude,마무리하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Let's conclude the meeting with a summary.,요약으로 회의를 마무리합시다.,,,,,
142,secure,안전하게 하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We secured a loan to expand our business.,우리는 사업 확장을 위해 대출을 확보했다.,,,,,
143,fabulous,"아주 멋진, 훌륭한",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The concert was absolutely fabulous!,그 콘서트는 정말 환상적이었다!,,,,,
144,agreement,"계약, 합의",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Both sides signed the agreement after negotiation.,양측은 협상 후 계약서에 서명했다.,,,,,
145,barely,"겨우, 간신히",adverb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I barely made it to the station on time.,나는 간신히 제시간에 역에 도착했다.,,,,,
146,objective,"목표, 목적",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Our objective is to reduce production costs.,우리의 목표는 생산 비용을 줄이는 것이다.,,,,,
147,evaluation,평가,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The evaluation process will take two weeks.,평가 과정은 2주가 걸릴 것이다.,,,,,
148,level,"수준, 단계",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The water level in the reservoir is rising.,저수지의 수위가 올라가고 있다.,,,,,
149,colleague,동료,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I discussed the project with my colleague.,나는 동료와 프로젝트에 대해 논의했다.,,,,,
150,force,"힘, 물리력",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The wind was strong enough to force the door open.,바람이 너무 강해서 문이 열려버렸다.,,,,,
151,premier,"최고의, 가장 중요한",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He is the premier chef in this region.,그는 이 지역 최고의 셰프이다.,,,,,
152,hostile,적대적인,adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The manager faced a hostile audience during the meeting.,매니저는 회의 중 적대적인 청중과 마주했다.,,,,,
153,correspond,"소통하다, 연락하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,His actions do not correspond with his words.,그의 행동은 말과 일치하지 않는다.,,,,,
154,fund,"자금, 기금",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The government plans to fund renewable energy projects.,정부는 재생 에너지 프로젝트에 자금을 지원할 계획이다.,,,,,
155,overlook,"간과하다, 무시하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He tends to overlook minor details.,그는 사소한 세부사항을 간과하는 경향이 있다.,,,,,
156,raise,들어올리다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They plan to raise salaries next year.,그들은 내년에 급여를 인상할 계획이다.,,,,,
157,apply,지원하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,You can apply for the position online.,온라인으로 그 직책에 지원할 수 있다.,,,,,
158,audit,회계 감사,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company is undergoing a financial audit.,그 회사는 재무 감사를 받고 있다.,,,,,
159,accurately,정확하게,adverb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The data was accurately recorded and analyzed.,데이터는 정확하게 기록되고 분석되었다.,,,,,
160,bear,"견디다, 참다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I can't bear the noise any longer.,나는 더 이상 그 소음을 참을 수 없다.,,,,,
161,consequence,"결과, 영향",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Every decision has its consequence.,모든 결정에는 그에 따른 결과가 있다.,,,,,
162,alliance,"동맹, 연합",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The two countries formed a military alliance.,두 나라는 군사 동맹을 맺었다.,,,,,
163,deter,단념시키다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,High prices may deter customers from buying.,높은 가격은 고객의 구매를 막을 수 있다.,,,,,
164,liable,책임이 있는,adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company is liable for any damages caused.,회사는 발생한 피해에 대해 책임이 있다.,,,,,
165,segment,"부분, 조각",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The market was divided into several segments.,시장은 여러 세그먼트로 나뉘었다.,,,,,
166,initiate,"시작하다, 개시하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They plan to initiate a new training program.,그들은 새로운 교육 프로그램을 시작할 계획이다.,,,,,
167,initially,"처음에, 초기에",adverb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The project was initially delayed due to lack of funding.,그 프로젝트는 자금 부족으로 처음에 지연되었다.,,,,,
168,contestant,"경쟁자, 참가자",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Each contestant must complete the race within an hour.,각 참가자는 1시간 이내에 경주를 완료해야 한다.,,,,,
169,substantially,상당히,adverb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The cost of living has increased substantially.,생활비가 상당히 증가했다.,,,,,
170,automate,자동화하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They plan to automate the entire production process.,그들은 전체 생산 과정을 자동화할 계획이다.,,,,,
171,pharmaceutical,의약품,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She works for a pharmaceutical company.,그녀는 제약 회사에서 일한다.,,,,,
172,execute,실행하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The manager executed the plan flawlessly.,관리자는 그 계획을 완벽하게 실행했다.,,,,,
173,instruct,지시하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He instructed his assistant to prepare the documents.,그는 비서에게 문서를 준비하라고 지시했다.,,,,,
174,acquaint,알리다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I need to acquaint myself with the new software.,나는 새 소프트웨어에 익숙해져야 한다.,,,,,
175,overprice,가격을 지나치게 높게 책정하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The items were clearly overpriced.,그 물건들은 명백히 가격이 과도하게 매겨졌다.,,,,,
176,pioneer,"개척자, 선구자",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She is a pioneer in medical research.,그녀는 의학 연구 분야의 개척자이다.,,,,,
177,distinguished,"두드러진, 뛰어난",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He is a distinguished professor of economics.,그는 저명한 경제학 교수이다.,,,,,
178,clearance,허가,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We’re having a clearance sale on all items.,우리는 전 품목에 대해 재고 정리 세일을 하고 있다.,,,,,
179,perceive,"인식하다, 이해하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Children often perceive things differently from adults.,아이들은 종종 어른들과 다르게 사물을 인식한다.,,,,,
180,unify,"통합하다, 하나로 만들다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The new leader tried to unify the divided country.,새 지도자는 분열된 나라를 통합하려 했다.,,,,,
181,incorporate,포함하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We should incorporate your suggestions into the final plan.,우리는 당신의 제안을 최종 계획에 포함시켜야 한다.,,,,,
182,dismiss,해고하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The case was dismissed due to lack of evidence.,증거 부족으로 그 사건은 기각되었다.,,,,,
183,interoffice,"사무실 간의, 회사 내의",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He sent an interoffice memo to all departments.,그는 모든 부서에 사내 메모를 보냈다.,,,,,
184,leisure,"여가, 자유 시간",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She spends most of her leisure time reading.,그녀는 여가 시간 대부분을 독서로 보낸다.,,,,,
185,suspect,용의자,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Police suspect that the fire was intentional.,경찰은 화재가 고의였다고 의심하고 있다.,,,,,
186,graduate,졸업생,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He graduated from college last year.,그는 작년에 대학을 졸업했다.,,,,,
187,absurd,터무니 없는,adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,That idea is completely absurd.,그 아이디어는 완전히 터무니없다.,,,,,
188,academic,학문적인,adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She has an excellent academic record.,그녀는 뛰어난 학업 성적을 가지고 있다.,,,,,
189,household,가정,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Household expenses have increased recently.,가계 지출이 최근 증가했다.,,,,,
190,proclaim,"선언하다, 공표하다",verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The king proclaimed a new law.,왕은 새로운 법을 공표했다.,,,,,
191,reject,거부하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They rejected the offer without hesitation.,그들은 주저 없이 그 제안을 거절했다.,,,,,
192,relative,친척,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The price is low relative to its quality.,그 품질에 비해 가격이 낮다.,,,,,
193,exaggerate,과장하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Don’t exaggerate the problem.,문제를 과장하지 마라.,,,,,
194,pose,질문을 제기하다,verb,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The question posed a serious challenge.,그 질문은 심각한 도전을 야기했다.,,,,,
195,bruise,"멍, 타박상",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He got a bruise on his arm after falling.,그는 넘어지며 팔에 멍이 들었다.,,,,,
196,primary,"주요한, 기본적인",adjective,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The primary goal is customer satisfaction.,주된 목표는 고객 만족이다.,,,,,
197,administration,"관리, 경영",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The new administration introduced several reforms.,새 행정부는 여러 개혁을 도입했다.,,,,,
198,agency,"대행사, 기관",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She works for a government agency.,그녀는 정부 기관에서 일한다.,,,,,
199,witness,증인,noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,A witness testified in court.,한 증인이 법정에서 증언했다.,,,,,
200,layout,"배치, 구성",noun,medium,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The layout of the office was redesigned for efficiency.,사무실 배치는 효율성을 위해 재설계되었다.,,,,,
201,mind,신경 쓰다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Do you mind if I open the window?,창문을 열어도 괜찮을까요?,,,,,
202,artwork,예술 작품,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The gallery displays modern artwork from local artists.,그 갤러리는 지역 예술가들의 현대 미술작품을 전시한다.,,,,,
203,remark,"발언, 논평",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,His rude remark offended many people.,그의 무례한 발언은 많은 사람을 불쾌하게 했다.,,,,,
204,offend,감정을 상하게 하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Try not to offend anyone with your jokes.,농담으로 누구도 불쾌하게 하지 않도록 하세요.,,,,,
205,agitate,불안하게 만들다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The speaker agitated the crowd with emotional words.,연설자는 감정적인 말로 군중을 선동했다.,,,,,
206,cherish,소중히 여기다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I will always cherish the memories of my childhood.,나는 어린 시절의 기억을 항상 소중히 간직할 것이다.,,,,,
207,curfew,통행금지,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,There’s a curfew in place after 10 PM.,밤 10시 이후에는 통행 금지가 있다.,,,,,
208,delineate,상세히 설명하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The map clearly delineates the boundaries of the country.,지도는 그 나라의 경계를 명확히 그려낸다.,,,,,
209,dire,"심각한, 끔찍한",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They were in dire need of medical supplies.,그들은 의약품이 절박하게 필요했다.,,,,,
210,eloquent,"웅변의, 설득력 있는",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She gave an eloquent speech on human rights.,그녀는 인권에 대해 유창한 연설을 했다.,,,,,
211,erode,"침식되다, 마모되다",verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The coastline is slowly eroding due to the waves.,해안선은 파도로 인해 서서히 침식되고 있다.,,,,,
212,espionage,첩보 활동,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He was arrested for industrial espionage.,그는 산업 스파이 행위로 체포되었다.,,,,,
213,exude,어떤 특질이나 감정을 발산하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She exudes confidence in every situation.,그녀는 어떤 상황에서도 자신감을 풍긴다.,,,,,
214,founder,"창립자, 설립자",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He is the founder of the tech startup.,그는 그 기술 스타트업의 창립자이다.,,,,,
215,odds,"확률, 가능성",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The odds of winning the lottery are very low.,복권에 당첨될 확률은 매우 낮다.,,,,,
216,inquisitive,호기심이 많은,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The child is very inquisitive and asks many questions.,그 아이는 매우 호기심이 많아 질문을 많이 한다.,,,,,
217,dissertation,논문,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She is working on her PhD dissertation.,그녀는 박사 논문을 작성 중이다.,,,,,
218,overturn,뒤집다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The court overturned the previous ruling.,법원은 이전 판결을 뒤집었다.,,,,,
219,tardy,"늦은, 지연된",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He received a warning for being tardy to class.,그는 수업에 지각해서 경고를 받았다.,,,,,
220,undue,부당한,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The manager showed undue favoritism.,매니저는 부당한 편애를 보였다.,,,,,
221,vandalize,파손하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Someone vandalized the school walls with graffiti.,누군가 학교 벽에 낙서를 하여 훼손했다.,,,,,
222,vent,"배출구, 통풍구",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She needed to vent her frustration.,그녀는 자신의 좌절감을 털어놓을 필요가 있었다.,,,,,
223,placid,조용하고 평온한,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The lake was calm and placid in the morning.,그 호수는 아침에 고요하고 평화로웠다.,,,,,
224,ingenious,"창의적인, 기발한",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,That was an ingenious solution to a complex problem.,그것은 복잡한 문제에 대한 기발한 해결책이었다.,,,,,
225,disturb,방해하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please do not disturb during the exam.,시험 중에는 방해하지 마십시오.,,,,,
226,acquaintance,"아는 사람, 지인",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,"He’s just a casual acquaintance, not a close friend.","그는 그냥 아는 사이일 뿐, 친한 친구는 아니다.",,,,,
227,provoke,특정 반응을 유발하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,His comments were intended to provoke a reaction.,그의 발언은 반응을 유도하려는 의도였다.,,,,,
228,attest,증명하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I can attest to her honesty and integrity.,나는 그녀의 정직함과 성실함을 증명할 수 있다.,,,,,
229,entrust,"책임을 맡기다, 위임하다",verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They entrusted the documents to a reliable courier.,그들은 문서를 믿을 만한 택배사에 맡겼다.,,,,,
230,reputable,평판이 좋은,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We hired a reputable firm to conduct the audit.,우리는 평판 좋은 회사를 고용해 감사를 맡겼다.,,,,,
231,abridge,"요약하다, 단축하다",verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The editor abridged the article for clarity.,편집자는 명확성을 위해 기사를 요약했다.,,,,,
232,roam,"돌아다니다, 방황하다",verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Cows were seen roaming freely in the field.,소들이 들판을 자유롭게 돌아다니는 것이 목격되었다.,,,,,
233,scary,"무서운, 두려운",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,That was the scariest movie I’ve ever seen.,그것은 내가 본 영화 중 가장 무서운 영화였다.,,,,,
234,compost,퇴비,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We use food scraps to make compost for the garden.,우리는 음식물 찌꺼기로 정원을 위한 퇴비를 만든다.,,,,,
235,criteria,"기준, 조건",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,What are the criteria for selecting applicants?,지원자를 선발하는 기준은 무엇인가요?,,,,,
236,transmission,"전송, 전파",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The transmission of the disease was faster than expected.,그 질병의 전파는 예상보다 빨랐다.,,,,,
237,disapprove,반대하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I strongly disapprove of such behavior.,나는 그런 행동을 강하게 반대한다.,,,,,
238,restructuring,"구조 조정, 개편",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company is undergoing a major restructuring.,그 회사는 대대적인 구조조정을 겪고 있다.,,,,,
239,repression,억압,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The people rose against political repression.,국민은 정치적 억압에 저항해 일어섰다.,,,,,
240,treadmill,런닝머신,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I run on the treadmill every morning.,나는 매일 아침 러닝머신에서 달린다.,,,,,
241,portion,부분,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She ate a small portion of the cake.,그녀는 케이크를 조금만 먹었다.,,,,,
242,further,추가적인,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Further discussion is needed to reach an agreement.,합의에 도달하기 위해 추가 논의가 필요하다.,,,,,
243,settlement,"합의, 해결",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They reached a settlement after months of negotiation.,그들은 몇 달 간의 협상 끝에 합의에 도달했다.,,,,,
244,discretion,신중함,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Use your own discretion when making decisions.,결정을 내릴 때는 자신의 재량에 따라 하세요.,,,,,
245,prominently,눈에 띄게,adverb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Her artwork was prominently displayed at the gallery.,그녀의 작품은 갤러리에서 눈에 띄게 전시되었다.,,,,,
246,construe,"해석하다, 이해하다",verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,His silence could be construed as agreement.,그의 침묵은 동의로 해석될 수 있다.,,,,,
247,meanwhile는,그 동안에,adverb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,"Meanwhile, I’ll wait for your reply.",그동안 나는 당신의 답장을 기다릴게요.,,,,,
248,reparation,"배상, 보상",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The government paid reparations to the victims.,정부는 피해자들에게 배상을 지급했다.,,,,,
249,scare,"겁주다, 놀라게 하다",verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The loud noise gave me a scare.,큰 소리에 깜짝 놀랐다.,,,,,
250,daunting,"주눅 들게 하는, 벅찬",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Starting a new job can be a daunting experience.,새로운 일을 시작하는 것은 벅찬 경험일 수 있다.,,,,,
251,marginally,"아주 조금, 미미하게",adverb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The new product is only marginally better than the old one.,새 제품은 기존 제품보다 약간 나을 뿐이다.,,,,,
252,schooling,정규 교육,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She completed her schooling abroad.,그녀는 해외에서 학업을 마쳤다.,,,,,
253,frequency,빈도,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The frequency of earthquakes in this region is increasing.,이 지역의 지진 빈도가 증가하고 있다.,,,,,
254,override,무시하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The manager decided to override the previous decision.,관리자는 이전 결정을 무효화하기로 했다.,,,,,
255,showroom,"전시실, 전시장",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The new car is on display in the showroom.,새 차가 전시장에 전시되어 있다.,,,,,
256,broadband,고속 인터넷,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The hotel offers free broadband access.,그 호텔은 무료 초고속 인터넷을 제공한다.,,,,,
257,dreadfully,"무서운 정도로, 몹시",adverb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I’m dreadfully sorry for the mistake.,실수에 대해 정말로 죄송합니다.,,,,,
258,reassurance,안심,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He gave her reassurance before the interview.,그는 면접 전에 그녀에게 안심시켰다.,,,,,
259,oppression,억압,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They lived under constant political oppression.,그들은 끊임없는 정치적 억압 속에 살았다.,,,,,
260,dreadful,"무서운, 끔찍한",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The service at the restaurant was dreadful.,그 식당의 서비스는 끔찍했다.,,,,,
261,conspire,"공모하다, 음모를 꾸 미다",verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,They conspired to overthrow the government.,그들은 정부를 전복하기 위해 공모했다.,,,,,
262,deed,"행위, 업적",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The brave deed earned him a medal.,그 용감한 행동으로 그는 훈장을 받았다.,,,,,
263,entry-level,초급의,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,This is an entry-level job with training provided.,이 일자리는 신입 직급으로 교육이 제공된다.,,,,,
264,alumnus,남성 졸업생,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He is an alumnus of Harvard University.,그는 하버드 대학교 졸업생이다.,,,,,
265,buyout,매수,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company avoided a hostile buyout.,그 회사는 적대적 인수를 피했다.,,,,,
266,sanctions,제재,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The country faced international sanctions.,그 나라는 국제 제재에 직면했다.,,,,,
267,skewed,"편향된, 왜곡된",adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The survey results were skewed by biased questions.,설문 결과는 편향된 질문으로 왜곡되었다.,,,,,
268,conscription,징병,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Military conscription is mandatory in that country.,그 나라에서는 병역이 의무이다.,,,,,
269,altercate,"말다툼하다, 언쟁하다",verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The two drivers began to altercate over the accident.,두 운전자는 사고를 두고 언쟁을 벌였다.,,,,,
270,usage,"사용(량), 용법",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The proper usage of words is important in writing.,글쓰기에서는 단어의 올바른 사용이 중요하다.,,,,,
271,distress,"심한 고통, 괴로움",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She showed signs of emotional distress.,그녀는 감정적 고통의 징후를 보였다.,,,,,
272,approximate,대략적인,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The approximate cost is $500.,대략적인 비용은 500달러이다.,,,,,
273,financing,자금 조달,noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The project needs additional financing to continue.,프로젝트를 계속하려면 추가 자금 조달이 필요하다.,,,,,
274,credibly,신빙성 있게,adverb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He was not credibly able to deny the charges.,그는 그 혐의를 믿을 만하게 부인하지 못했다.,,,,,
275,organization,"조직, 단체",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The organization provides aid to refugees.,그 기관은 난민들에게 도움을 제공한다.,,,,,
276,viciously,잔인하게,adverb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The dog barked viciously at the stranger.,그 개는 낯선 사람에게 사납게 짖었다.,,,,,
277,deteriorative,악화시키는,adjective,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The chemicals had a deteriorative effect on the environment.,그 화학물질은 환경에 악화시키는 영향을 미쳤다.,,,,,
278,submit,제출하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please submit your application by Friday.,금요일까지 신청서를 제출해 주세요.,,,,,
279,strain,"긴장, 압박",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The heavy workload is causing a lot of strain.,과중한 업무가 큰 부담을 주고 있다.,,,,,
280,revitalize,새로운 활력을 주다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The mayor plans to revitalize the downtown area.,시장은 도심 지역을 활성화할 계획이다.,,,,,
281,bonanza,"노다지, 대박",noun,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The holiday season is a bonanza for retailers.,연휴 시즌은 소매업자들에게 대박 기회다.,,,,,
282,publicize,공개하다,verb,hard,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company plans to publicize its new product online.,회사는 신제품을 온라인에 홍보할 계획이다.,,,,,
